Store ID,Store Name,Positive Feedback,Feeback Store,Date Opened,Item as Described,Communication,Shipping Speed,Time Scraped
1460275,EVOCUST Unique Store,4604,98.3,27 Sep 2014,4.7,4.7,4.6,2017-04-30 01:21:46.193181
923654,"AOXUAN CLOTHING CO.,Ltd",12603,97.3,14 Apr 2013,4.7,4.7,4.6,2017-04-30 01:21:47.304358
1213767,"Fitness,s Store",16260,96.6,13 Apr 2014,4.6,4.6,4.4,2017-04-30 01:21:48.361142
623302,MIACAWOR Store,21966,96.5,13 Apr 2013,4.6,4.7,4.6,2017-04-30 01:21:49.287589
734050,Lance Donovan Professional Men Apparel & Accessories Store,19386,96.1,15 Aug 2013,4.6,4.6,4.5,2017-04-30 01:21:50.211393
2791110,wings 7 Store,133,97.8,05 Jan 2017,4.8,4.8,4.8,2017-04-30 01:21:51.474420
1458019,Cassie ZRJ,9910,97.1,25 Sep 2014,4.6,4.6,4.5,2017-04-30 01:21:52.453332
1702269,JWJ STORE,20644,98.6,01 Feb 2015,4.8,4.7,4.7,2017-04-30 01:21:53.460864
2348059,RFBear Men's wear Direct Store,5721,98.5,17 Jul 2016,4.8,4.8,4.7,2017-04-30 01:21:54.518937
2224060,yu cong Men's garment,1469,94.4,10 Jun 2016,4.5,4.6,4.3,2017-04-30 01:21:55.637069
1596237,"Store:Ningbo HITEE Apparel CO., LTD",2428,99.1,15 Dec 2014,4.8,4.7,4.6,2017-04-30 01:21:56.791585
511131,Little Cherry Fashion Clothing,14188,98.6,28 Mar 2012,4.8,4.8,4.7,2017-04-30 01:21:57.799213
1879534,Abby Happy Store,4262,96.7,03 Aug 2015,4.6,4.6,4.3,2017-04-30 01:21:58.928964
1500977,Happy Square Shopping Center,12028,98.2,11 Nov 2014,4.7,4.6,4.4,2017-04-30 01:22:00.180807
1153090,MOKMORSMclothing NO.999 Store Store,9248,96.5,23 Feb 2014,4.6,4.6,4.4,2017-04-30 01:22:01.097483
1873745,"Hangzhou export co., LTD",6455,97.8,27 Jul 2015,4.7,4.7,4.6,2017-04-30 01:22:02.248765
